,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
5519,Beemster Oud 48+ stuk,7.92,404.0,33.0,,26.0,1.94,0.06435643564356436
5521,So Vegan So Fine Witte Kokospasta Bio,3.59,559.0,34.0,58.0,3.5,1.33,0.006261180679785331
5522,AH Goudse jong 48+ plakken grootverpakking,4.84,362.0,30.0,,23.0,1.3699999999999999,0.06353591160220995
5524,Holie Crunchy muesli fruit and nuts,3.59,398.0,11.9,52.6,10.1,0.89,0.02537688442211055
5525,Calvé Pindakaas 100% pindas fijn,5.55,601.0,48.0,12.0,27.0,0.9199999999999999,0.04492512479201331
5526,AH Glutenvrij Vezelrijke bran flakes,2.69,357.0,2.3,69.0,7.5,0.89,0.02100840336134454
5530,Rotterdamsche Oude Limited edition,5.96,420.0,35.0,,26.8,2.2,0.06380952380952382
5531,St. Dalfour Vruchtenspread Vijgen,3.19,216.0,0.8,52.0,0.7,1.1199999999999999,0.0032407407407407406
5532,AH Kaas belegen 20+ plakken,3.06,261.0,13.0,,36.0,1.92,0.13793103448275862
5534,Tasty Basics Muesli choco en noten,3.99,439.0,23.0,27.0,20.0,1.1400000000000001,0.04555808656036447
5536,Maple gold Ahorn siroop,5.29,348.0,,87.0,,2.1100000000000003,
5537,Bolletje Krokante ontbijtgranen pecannoten,3.35,414.0,13.0,56.0,9.7,0.89,0.023429951690821255
5538,AH Jong belegen 20+ stuk,6.95,248.0,12.0,,35.0,1.65,0.14112903225806453
5539,Holie Glutenvrije granola nuts & seeds,3.99,414.0,17.6,48.8,14.3,1.1400000000000001,0.03454106280193237
5540,AH Ontbijt notenmix ontbijt,2.99,667.0,61.0,5.2,21.0,1.49,0.031484257871064465
5543,Grenade Protein bars white choc salt peanut,2.85,403.0,20.0,32.0,33.0,4.75,0.08188585607940446
5544,BioToday Ahornsiroop,6.89,345.0,,86.0,0.26,2.75,0.0007536231884057972
5545,Leerdammer Gatenkaas 45+ plakken,4.47,356.0,28.0,,27.0,1.49,0.07584269662921349
5546,Damhert Chocopasta lactosevrij,3.99,562.0,35.6,55.3,3.4,0.99,0.006049822064056939
5549,Tasty Basics Beschuit meerzaden,2.69,391.0,13.0,44.0,19.0,1.6,0.04859335038363171
5551,Hagelswag Ontbijtchocolade puur,3.49,559.0,38.0,45.0,,2.1100000000000003,
5552,AH Krokante muesli stevia chocolade noot,2.59,425.0,14.0,51.0,10.0,0.86,0.023529411764705882
5553,BioToday Cashewnootpasta,5.29,582.0,44.0,27.0,18.0,3.1100000000000003,0.030927835051546393
5554,Flower Farm Hazelnootpasta zonder palmolie,2.77,2364.0,37.0,52.0,5.3,0.9800000000000001,0.002241962774957699
5557,Eat Natural Super granola pure chocolade & hazelnoot,4.29,479.0,29.2,35.6,11.8,1.0,0.024634655532359082
5558,"AH Muesli fruit, zaden & pitten",3.85,366.0,8.3,58.0,9.9,0.38,0.027049180327868853
5559,Melvita Europese Bloemenhoning,3.49,325.0,,80.5,0.4,1.3900000000000001,0.0012307692307692308
5560,Langnese Bee easy bloemenhoning biologisch,3.99,,,,,1.59,
5561,AH Glutenvrij Krokante muesli met noten,2.99,407.0,15.0,50.0,10.0,1.19,0.02457002457002457
5562,Grenade Protein bars choc chip salt caramel,2.85,376.0,16.0,34.0,33.0,4.75,0.08776595744680851
5563,Trek Protein noten repen dark choc sea salt,2.99,532.0,37.3,17.3,25.7,2.4899999999999998,0.04830827067669173
5565,AH Kaas vd boerderij belegen 30+ stuk,7.74,304.0,20.0,,31.0,1.7899999999999998,0.10197368421052631
5566,Kellogg's Special K melkchocolade,3.65,396.0,,77.0,8.8,1.21,0.022222222222222223
5567,Snelle Jelle Granola original,2.99,404.0,12.0,55.0,9.2,0.6599999999999999,0.02277227722772277
5568,AH Ontbijt zaden en pittenmix,2.79,465.0,29.0,23.0,17.0,1.46,0.03655913978494624
5569,AH Grillworst naturel,4.0,252.0,19.0,3.1,17.0,1.6,0.06746031746031746
5571,Calvé Pindakaasreep karamel,2.99,485.0,29.0,29.0,20.0,2.13,0.041237113402061855
5572,Bonne Maman Sinaasappel marmelade,3.29,,0.1,59.0,0.3,0.8800000000000001,
5573,Marmite Yeast extract,4.99,260.0,0.5,30.0,34.0,1.9899999999999998,0.13076923076923078
5574,Milka Hazelnootpasta met chocolade,4.69,555.0,34.0,58.0,3.8,0.78,0.006846846846846846
5575,Tasty Basics Muesli naturel,3.79,396.0,14.0,22.0,32.0,1.08,0.08080808080808081
5576,St. Dalfour Vruchtenspread Sinaasappel Gember,3.19,238.0,,59.0,,1.1199999999999999,
5577,Beemster Belegen 30+ stuk,8.03,291.0,19.0,,31.0,1.92,0.10652920962199312
5579,AH Biologisch Kaas volkoren cracker,2.59,396.0,17.0,44.0,12.0,1.29,0.030303030303030304
5580,Beemster Aged,4.0,404.0,33.2,,26.3,2.0,0.0650990099009901
5581,AH Excellent Prosciutto crudo truffel,3.99,218.0,12.0,0.5,27.0,4.43,0.12385321100917432
5582,Zonnatura Havermout meerzaden glutenvrij,2.09,375.0,7.8,58.0,14.0,0.79,0.037333333333333336
5583,AH Glutenvrij Muesli,2.59,435.0,13.0,55.0,18.0,0.5700000000000001,0.041379310344827586
5584,Céréal Gluco regul aardbeien,3.89,71.0,0.2,14.3,0.4,1.21,0.005633802816901409
5585,Skippy Creamy peanut butter,3.99,605.0,43.4,16.6,26.9,1.17,0.04446280991735537
5590,Kellogg's Rice Krispies,3.39,387.0,1.2,86.0,,0.9,
5594,FulFil Peanut and caramel,1.91,372.0,15.0,29.0,36.0,4.63,0.0967741935483871
5595,Zonnatura Fruitspread woudvruchten,2.99,113.0,0.5,24.0,0.6,1.59,0.005309734513274336
5596,AH Biologisch Volkoren cracker,2.59,394.0,16.0,46.0,11.0,1.29,0.027918781725888325
5597,Kellogg's Tresor choco roulette,4.25,,15.0,69.0,7.3,1.03,
5598,Bonne Maman Meer fruit minder suiker vijgen,3.29,,0.2,39.0,0.6,0.9800000000000001,
5599,AH Biologisch Krokante muesli 4 noten,3.19,458.0,18.0,61.0,9.9,0.9800000000000001,0.021615720524017466
5601,Weetabix Mini's choco,2.99,391.0,5.4,71.0,9.8,0.8800000000000001,0.02506393861892583
5602,AH Zaanlander Extra belegen 35+ plakken flinterdun,2.6,318.0,22.0,,30.0,2.45,0.09433962264150944
5604,Mellona Vloeibare honing,5.99,,,,,1.33,
5605,Old Amsterdam Oud 35+ stuk,7.93,325.0,23.0,,29.0,2.05,0.08923076923076922
5609,Leev Superieur havermout glutenvrij,3.29,370.0,6.9,59.0,13.0,0.65,0.03513513513513514
5610,Eat Natural Muesli glutenvrij,3.99,482.0,29.1,38.9,12.3,0.79,0.025518672199170127
5611,AH Friese nagelkaas belegen 40+ plakken,3.65,385.0,29.0,,31.0,1.69,0.08051948051948052
5612,Kellogg's All-bran plus,3.79,334.0,3.5,48.0,14.0,0.75,0.041916167664670656
5613,Streeckgenoten Biologische slagers achterham,3.59,131.0,,1.5,20.0,3.59,0.15267175572519084
5614,Nature Valley Crunchy haver & bessen koek,2.79,453.0,16.9,64.6,7.4,1.3199999999999998,0.016335540838852098
5615,AH Smeuge pindakaas,4.39,645.0,55.0,14.0,20.0,0.43,0.031007751937984496
5616,Smaakt Haverzemelen,2.99,366.0,,51.0,17.0,0.5900000000000001,0.04644808743169399
5617,AH Zaanlander Prestige extra oud 48+ plak,2.47,445.0,37.0,,28.0,2.3899999999999997,0.06292134831460675
5618,Nocilla Hazelnootpasta duo 0%,3.79,451.0,30.0,53.0,4.5,1.9899999999999998,0.009977827050997782
5619,Whole Earth Gold edition,3.49,594.0,46.2,11.3,28.9,1.02,0.04865319865319865
5620,AH Zaanlander 3 Jaar gerijpt 48+ stuk,6.22,462.0,38.0,,30.0,2.25,0.06493506493506493
5622,FulFil Protein bar chocolate salted caramel,2.14,371.0,15.0,28.0,37.0,5.18,0.09973045822102426
5623,Eat Natural Ancient grains glutenvrij,3.99,479.0,28.4,38.7,11.5,0.8800000000000001,0.024008350730688934
5624,Whole Earth Crunchy dark roasted peanut butter,3.49,594.0,46.3,10.3,28.9,1.02,0.04865319865319865
5625,AH Geitenkaas koriander 50+ plakken,4.23,388.0,32.0,,25.0,1.9600000000000002,0.06443298969072164
5626,AH Goudse extra belegen 48+ stuk,7.31,397.0,33.0,,25.0,1.8,0.06297229219143577
5627,Dorset Muesli cranberry cherry & almond,3.99,387.0,8.9,63.8,9.3,0.73,0.024031007751937988
5628,Johma Kip-kerrie salade bewust in kcal,3.29,215.0,15.3,6.5,12.3,1.8800000000000001,0.0572093023255814
5629,De Kleine Keuken Biologische chocopasta met hazelnoot,3.19,507.0,32.0,38.0,12.0,1.59,0.023668639053254437
5630,Vegetarische Slager Vegan specktakel,3.29,151.0,9.3,3.8,11.0,3.29,0.0728476821192053
5637,Nature Valley Protein rood fruit & pinda repen,3.65,477.0,26.7,27.3,25.8,2.2800000000000002,0.05408805031446541
5638,Nakd. Fruitreep met noten cocoa coconut,2.99,379.0,15.7,50.0,5.9,2.13,0.015567282321899738
5640,AH Kaas vd boerderij belegen 50+ stuk,7.31,415.0,35.0,,25.0,1.7,0.060240963855421686
5641,Kellogg's Special K rode vruchten,3.65,376.0,1.5,79.0,8.9,1.21,0.023670212765957446
5642,Bonne Maman Kersen confiture,3.35,,0.2,59.0,0.7,0.9,
5643,Oreo O's cereal,3.34,382.0,2.7,80.0,7.5,1.27,0.01963350785340314
5644,Nakd. Fruitreep met noten banoffee pie,2.99,368.0,13.2,53.1,6.9,2.13,0.01875
5647,Zonnatura Fruitspread abrikoos,3.04,98.0,0.5,23.0,0.5,1.6199999999999999,0.00510204081632653
5648,St. Dalfour Vruchtenspread Aardbei,3.19,214.0,0.4,52.0,,1.1199999999999999,
5649,Kellogg's Mini's,3.95,382.0,1.5,84.0,6.3,1.83,0.016492146596858638
5650,Calvé Pindakaasreep naturel,2.99,486.0,30.0,27.0,20.0,2.13,0.0411522633744856
5651,Calvé Extra crunchy pindakaas,4.89,664.0,58.0,11.0,21.0,1.3900000000000001,0.03162650602409638
5652,Hero Rinse appelstroop,2.79,299.0,0.5,72.0,0.5,0.62,0.0016722408026755853
5653,AH Pindareep cashew zeezout,2.59,560.0,36.0,39.0,17.0,2.15,0.030357142857142857
5656,Kellogg's Frootloops unicorn,3.29,385.0,,79.0,8.3,0.8699999999999999,0.02155844155844156
5658,De Kleine Keuken Biologische appel & dadelstroop,3.99,270.0,,66.0,0.9,1.33,0.0033333333333333335
5659,Streeckgenoten Geitenkaas Italiaanse kruiden,4.12,364.0,30.0,0.9,23.0,1.9899999999999998,0.06318681318681318
5661,Graze Lively lemon superfood oat bites,3.05,460.0,24.0,51.0,6.5,2.54,0.014130434782608696
5662,Streeckgenoten Trappistenkaas bio jong belegen,4.27,430.0,36.0,,26.0,2.19,0.06046511627906977
5664,Bolletje Tussendoorcrackers tuinkruiden,2.55,405.0,,64.0,9.7,1.34,0.023950617283950617
5665,Holie Granola fruit & nuts,3.55,349.0,5.4,54.8,13.1,1.01,0.03753581661891117
5667,AH Biologisch Oud 50+ stuk,8.38,436.0,36.0,,28.0,2.19,0.06422018348623854
5670,Streeckgenoten Schrama extra belegen,3.58,393.0,33.0,,24.0,1.69,0.061068702290076333
5671,AH Jong belegen 20+ plakken,3.06,248.0,12.0,,35.0,1.7600000000000002,0.14112903225806453
5673,Bonne Maman Pruimen confiture,3.19,,0.1,59.0,0.4,0.86,
5675,Nakd. Fruitreep met noten carrot cake,2.99,422.0,21.8,46.2,,2.13,
5676,Trek Protein havermout repen banana,2.99,416.0,18.9,39.5,20.3,1.9899999999999998,0.04879807692307692
5678,Melvita Bloemenhoning,4.69,325.0,,80.5,0.4,0.93,0.0012307692307692308
5679,Bolletje Groentecrackers wortel,2.75,453.0,19.0,38.0,27.0,1.3699999999999999,0.059602649006622516
5680,Dorset Cereals berry granola,3.65,482.0,23.4,54.2,10.8,1.1199999999999999,0.022406639004149378
5681,Blue Band Rijk & romig,2.99,531.0,59.0,0.5,0.5,0.79,0.0009416195856873823
5682,AH Gepofte Wafels Naturel,2.99,391.0,1.2,84.0,9.8,4.2700000000000005,0.02506393861892583
5683,AH Coburgerham kleinverpakking,18.83,180.0,10.0,0.3,22.0,2.69,0.12222222222222222
5685,AH Pekelvlees,2.99,143.0,,,19.0,2.71,0.13286713286713286
5686,AH Biologisch Dadel & notenmix ongebrand,4.99,490.0,31.0,28.0,19.0,0.99,0.03877551020408163
5687,Beemster Kaas jong 48+ stuk,8.78,375.0,31.0,,24.0,1.51,0.064
5689,Holie Crunchy muesli 4 nuts,3.59,426.0,16.0,48.9,11.5,0.89,0.02699530516431925
5691,Zonnatura Krokante muesli noten zaden,2.77,429.0,15.0,57.0,11.0,0.9800000000000001,0.02564102564102564
5692,Whole Earth Smooth peanut butter,3.49,645.0,54.5,9.2,26.3,1.02,0.04077519379844961
5693,AH 100% Pindakaas extra grof,2.55,615.0,48.0,14.0,28.0,0.72,0.04552845528455285
5695,Quaker Cruesli frambalicious,3.99,459.0,17.0,63.0,7.3,1.06,0.0159041394335512
5696,Trek Protein havermout reep salted caramel,2.99,446.0,20.4,45.8,18.5,1.9899999999999998,0.04147982062780269
5698,AH Goudse belegen 48+ stuk,7.58,375.0,31.0,,24.0,1.6300000000000001,0.064
5699,AH Biologisch Cashewnoten ongebrand,6.99,599.0,47.0,23.0,19.0,1.7399999999999998,0.03171953255425709
5702,AH Biologisch Jong 50+ stuk,6.27,383.0,31.0,,26.0,1.5699999999999998,0.06788511749347259
5703,Nakd. Almond macaroon fruit- & notenrepen,2.99,384.0,15.0,52.4,6.9,2.13,0.017968750000000002
5704,"Quaker Cruesli apple, raisin & pumpkin seeds",4.75,443.0,16.0,63.0,7.9,0.55,0.01783295711060948
5707,Bonne Maman Meer fruit minder suiker kersenjam,3.49,164.0,0.2,39.0,0.7,1.04,0.004268292682926829
5708,Trek Protein havermout repen cocoa coconut,2.99,468.0,25.3,40.6,18.1,1.9899999999999998,0.03867521367521368
5709,AH Gatenkaas belegen 45+ plakken,3.42,387.0,31.0,,27.0,1.51,0.06976744186046512
5710,Tasty Basics Repen choco en noten,3.35,561.0,43.0,20.0,16.0,2.42,0.0285204991087344
5711,Kellogg's All-bran flakes,3.99,359.0,2.6,65.0,12.0,1.06,0.033426183844011144
5714,AH Schouderham,4.49,103.0,2.1,,16.0,1.7899999999999998,0.1553398058252427
5715,De Ruijter Hagelfeest,2.99,442.0,14.0,76.0,2.8,0.76,0.006334841628959275
5716,Zonnatura Vegetarische pat naturel,2.59,222.0,18.0,,4.6,2.7600000000000002,0.02072072072072072
5717,AH Rosbief peper,3.29,119.0,3.4,,22.0,2.9899999999999998,0.18487394957983194
5719,AH Geitenkaas oud 50+ plakken,4.95,424.0,36.0,,25.0,2.35,0.0589622641509434
5720,Johma Tonijnsalade bewust in kcal,3.49,208.0,15.6,3.9,13.6,1.9899999999999998,0.06538461538461539
5721,Bolletje Krokante ontbijtgranen notenmix,3.35,433.0,15.0,57.0,11.0,0.89,0.025404157043879907
5723,AH Zaanlander Belegen 35+ stuk,4.45,305.0,21.0,,29.0,1.89,0.09508196721311475
5725,AH Glutenvrij Vezelrijke zadencrackers,2.69,441.0,23.0,41.0,12.0,1.53,0.027210884353741496
5726,AH Goudse jong belegen 35+ stuk,5.85,271.0,19.0,,25.0,1.5699999999999998,0.09225092250922509
5728,AH Kaas van de boerderij extra belegen 50+,4.28,437.0,37.0,,26.0,2.0100000000000002,0.059496567505720827
5729,Be-Kind Notenreep honing zeezout 3-pack,3.05,555.0,39.0,27.0,18.0,3.38,0.032432432432432434
5730,Echte Boter Pakje ongezouten,3.89,746.0,82.0,,,1.55,
5731,Johma Tom kha kai salade,3.59,426.0,40.8,7.4,7.1,2.05,0.016666666666666666
5732,Old Amsterdam Belegen 48+ plakken,4.4,402.0,34.0,,25.0,1.9899999999999998,0.06218905472636816
5733,Schär Crackers glutenvrij,2.99,446.0,12.0,79.0,3.3,1.42,0.007399103139013452
5735,Whole Earth Crunchy peanut butter,3.49,643.0,54.3,7.4,27.7,1.02,0.043079315707620525
5736,Kellogg's Honey Pops,3.29,380.0,1.1,85.0,5.4,0.8699999999999999,0.014210526315789474
5739,AH 100% Pindakaas met stukjes,5.19,615.0,48.0,14.0,28.0,0.51,0.04552845528455285
5741,Bonne Maman Meer fruit minder suiker frambozenjam,3.75,,0.2,37.0,0.8,1.1099999999999999,
5742,Wasa Sesam Crunch Sensation,2.69,390.0,12.0,48.5,12.0,1.22,0.03076923076923077
5743,Holie Crunchy muesli chocolate,3.59,412.0,14.1,49.9,10.7,0.89,0.025970873786407764
5744,Nature Valley Crunchy variety pack haver koek,2.69,473.0,19.8,61.5,8.7,1.28,0.01839323467230444
5745,Nature Valley Sweet & salty nut pure chocolade repen,2.99,463.0,23.8,45.7,9.9,1.9899999999999998,0.021382289416846653
5747,Calvé 100% Grof gemalen pinda's pindakaas,3.95,601.0,48.0,12.0,27.0,1.1199999999999999,0.04492512479201331
5748,BioToday Gemengde notenpasta,3.51,604.0,51.0,11.0,22.0,2.06,0.03642384105960265
5749,Heks'nkaas Vegan gerookte paprika knoflook,3.59,416.0,41.2,9.9,0.8,1.7899999999999998,0.0019230769230769232
5751,AH Kaas vd boerderij belegen 50+ plak,4.05,415.0,35.0,,25.0,1.83,0.060240963855421686
5752,AH Biologisch Extra belegen 50+ plakken,3.86,423.0,35.0,,27.0,2.1100000000000003,0.06382978723404255
5753,AH Kip grillworst stuk,4.03,257.0,20.0,,13.0,1.69,0.05058365758754864
5754,Old Amsterdam Oud 48+ plakken,5.8,401.0,33.0,,26.0,2.18,0.06483790523690773
5755,Wasa Original crisp,2.95,340.0,,60.0,11.0,1.47,0.03235294117647059
5756,Milner Jong belegen 30+ stuk,8.89,294.0,19.0,,30.0,1.77,0.10204081632653061
5757,Holie Granola chocolate crunch,3.65,333.0,,51.3,11.1,1.04,0.03333333333333333
5759,Johma Gevuld eitje salade XL,3.39,390.0,38.7,3.9,6.1,1.1300000000000001,0.01564102564102564
5760,AH Krokante muesli 5 noten,2.69,463.0,21.0,52.0,10.0,0.67,0.02159827213822894
5763,AH Pindareep amandel hazelnoot,2.59,591.0,41.0,35.0,17.0,2.15,0.028764805414551606
5764,Zonnatura Fruitspread aardbei,3.04,100.0,0.5,23.0,0.5,1.6199999999999999,0.005
5765,Tasty Basics Mini cracker maanzaad en olijf,2.99,464.0,29.0,11.0,34.0,1.9899999999999998,0.07327586206896551
5766,AH Scharrel gebraden kipfilet voordeelverp,4.49,109.0,2.3,1.8,20.0,2.56,0.1834862385321101
5768,So Vegan So Fine Hazelnootpasta Bio,3.59,581.0,38.0,54.0,4.2,1.33,0.007228915662650603
5769,Quaker Granola noten-zaden,3.65,429.0,11.0,70.0,9.2,0.8099999999999999,0.021445221445221443
5770,Quaker Cruesli energy activaton mix,3.55,422.0,10.0,71.0,,0.9400000000000001,
5772,Peijnenburg Ontbijtkoek ongesneden glutenvrij,2.99,308.0,1.9,70.0,,1.04,
5774,AH Biologisch Bosvruchten fruitspread,2.85,152.0,0.2,36.0,0.7,1.1400000000000001,0.004605263157894736
5775,Beemster Extra oud 48+ plakken,3.29,426.0,35.0,,27.7,2.63,0.06502347417840375
5777,Milner Extra belegen 30+ plakken,5.41,316.0,20.0,,32.0,2.15,0.10126582278481013
5778,AH Goudse jong 48+ stuk,8.08,362.0,30.0,,23.0,1.4300000000000002,0.06353591160220995
5781,Johma Tonijnsalade xl,4.19,350.0,31.6,2.7,13.3,1.3900000000000001,0.038
5783,AH Grillworst kaas,4.0,259.0,20.0,4.5,15.0,1.6,0.05791505791505792
5785,BioToday Amandelpasta,6.29,595.0,50.0,9.1,21.0,3.7,0.03529411764705882
5786,Bonne Maman Viervruchten confiture,3.15,,0.1,58.0,0.6,0.85,
5787,AH Krokante muesli yoghurt aardbei,2.69,434.0,15.0,59.0,9.2,0.71,0.02119815668202765
5788,AH Zaanlander Extra belegen 35+ plakken,2.72,318.0,22.0,,30.0,2.2199999999999998,0.09433962264150944
5789,Calvé Pindakaas met stukjes pinda,7.49,651.0,55.0,15.0,20.0,0.74,0.030721966205837174
5790,Johma Hot wing salade,3.29,313.0,26.5,11.5,6.5,1.8800000000000001,0.020766773162939296
5792,AH Biologisch Boerenpaté,2.79,361.0,31.0,8.4,12.0,1.9899999999999998,0.0332409972299169
5793,Bonne Maman Meer fruit minder suiker abrikozenjam,3.35,,0.2,39.0,0.8,1.0,
5794,AH Goudse belegen 30+ stuk,5.71,300.0,19.0,,32.0,1.54,0.10666666666666667
5795,AH Zaanlander Jong belegen 35+ stuk,4.42,284.0,20.0,,26.0,1.73,0.09154929577464789
5796,Nakd. Berry delight fruitreep met noten,2.99,388.0,14.8,52.0,8.6,2.13,0.022164948453608245
5798,De Ruijter Witte vlokken,2.55,460.0,14.0,77.0,5.9,0.85,0.01282608695652174
5800,Langnese Bee easy bloemen honing,3.69,,,,,1.47,
5801,De Ruijter Chocoladehagel melk,3.99,450.0,15.0,72.0,5.7,0.65,0.012666666666666666
5802,Eat Natural Super Granola Extreme Cacao,4.19,470.0,25.0,46.0,10.4,0.9800000000000001,0.022127659574468085
5803,De Ruijter Chunks extra puur,2.99,502.0,27.0,53.0,5.7,1.49,0.011354581673306774
5806,Old Amsterdam Oud 48+ stuk,7.49,401.0,33.0,,26.0,1.8699999999999999,0.06483790523690773
5807,Nakd. Fruitreep met noten salted caramel,2.99,367.0,11.5,56.6,6.5,2.13,0.017711171662125342
5808,Quaker Cruesli granola met goji & blauwe bes,3.65,402.0,7.9,65.0,11.0,1.04,0.02736318407960199
5809,Beemster Kaas jong 48+ plakken,5.05,375.0,31.0,,24.0,1.83,0.064
5810,Quaker Havermout kaneel,2.69,379.0,6.6,67.0,,0.8099999999999999,
5812,Bolletje Vezelrijk zadencrackers pompoenpitten,2.69,481.0,25.0,37.0,19.0,1.01,0.0395010395010395
5813,Calvé Creamy pindakaas,4.89,663.0,58.0,15.0,18.0,1.3900000000000001,0.027149321266968326
5814,Trek Protein haver reep white choc raspberry,2.99,462.0,21.1,48.7,18.5,1.9899999999999998,0.04004329004329004
5815,Be-Kind Notenreep karamel amandel zeezout 3-pack,3.05,534.0,40.0,19.0,16.0,3.38,0.0299625468164794
5816,AH Carpaccio truffelmayo,3.99,147.0,8.1,0.5,18.0,3.2399999999999998,0.12244897959183673
5817,AH Goudse jong belegen 48+ stuk,7.84,371.0,31.0,,23.0,1.5,0.06199460916442048
5819,Streeckgenoten Nostalgische gerookte ossenworst,3.32,155.0,,0.5,18.5,2.77,0.11935483870967742
5821,Beemster Extra belegen 48+ stuk,8.17,292.0,19.0,,31.0,1.8399999999999999,0.10616438356164383
5822,Milner Belegen 30+ stuk,7.49,293.0,19.0,,30.0,1.6600000000000001,0.10238907849829351
5823,AH Kaas vd boerderij extra belegen 50+ stuk,7.65,437.0,37.0,,26.0,1.8699999999999999,0.059496567505720827
5824,Zonnatura Zonnestroop peer & appel,2.89,232.0,0.2,55.0,0.9,1.28,0.003879310344827586
5826,Bonne Maman Aardbeien confiture,3.75,,0.1,59.0,0.4,0.74,
5827,Maaslander Belegen 50+ plakken,3.39,404.0,34.3,,23.9,1.69,0.059158415841584155
5828,AH Biologisch Extra belegen 50+ stuk,7.96,423.0,35.0,,27.0,1.98,0.06382978723404255
5829,AH Biologisch Bloemenhoning creme,3.59,326.0,,81.0,0.4,0.79,0.001226993865030675
5830,De Ruijter Specials extra puur,2.69,430.0,18.0,55.0,7.5,1.34,0.01744186046511628
5831,Boursin Zacht & romig knoflook & kruiden,3.69,311.0,30.5,2.5,6.5,1.75,0.02090032154340836
5834,Venz XXL hagelslag puur,2.99,445.0,17.0,68.0,4.7,0.78,0.01056179775280899
5835,AH Leidse kanter 40+ plakken,2.97,372.0,28.0,,30.0,1.49,0.08064516129032258
5836,Nakd. Pecan pie fruit- en notenrepen,2.99,476.0,31.4,36.4,7.6,2.13,0.015966386554621848
5837,AH Biologisch Hazelnootpasta,3.99,569.0,37.0,52.0,5.3,0.99,0.009314586994727592
5838,AH Pan Pan 20+ plakken,3.31,253.0,13.0,,34.0,1.59,0.13438735177865613
5840,Quaker Cruesli appel & rozijn,3.85,443.0,16.0,63.0,7.9,0.85,0.01783295711060948
5843,AH Duo pasta hazelnoot wit,3.79,568.0,36.0,58.0,2.5,0.5,0.0044014084507042256
5844,De Ruijter Kleintjes hagelslag,2.55,452.0,15.0,72.0,5.8,1.8199999999999998,0.012831858407079646
5845,AH Scharrel flinterdun kipfilet,4.49,123.0,4.5,1.5,19.0,2.2399999999999998,0.15447154471544716
5848,Kellogg's Smacks,3.29,377.0,1.6,81.0,7.1,0.8699999999999999,0.018832891246684347
5849,Tasty Basics Muesli noten en pitten,3.99,475.0,27.0,19.0,28.0,1.1400000000000001,0.05894736842105263
5850,Trek Protein havermout repen cocoa,2.99,454.0,22.0,43.9,18.4,1.9899999999999998,0.040528634361233475
5855,Bonne Maman Frambozen confiture,3.39,,0.2,57.0,0.7,0.9099999999999999,
5856,Quaker Cruesli balans naturel,3.85,405.0,5.3,70.0,,1.02,
5857,Johma Eisalade XL,3.39,303.0,28.6,3.2,7.8,1.1300000000000001,0.02574257425742574
5858,Kellogg's Coco pops,3.29,382.0,1.9,84.0,6.3,0.99,0.016492146596858638
5859,AH Biologisch Oud 50+ plakken,4.44,436.0,36.0,,28.0,2.34,0.06422018348623854
5860,AH Kaas vd boerderij belegen 30+ plak,4.01,304.0,20.0,,31.0,1.92,0.10197368421052631
5861,Johma Beenham honing-mosterd salade,3.59,377.0,35.5,6.8,6.8,2.05,0.01803713527851459
5862,AH Goudse jong belegen 48+ stuk voordeel,10.98,375.0,31.0,,24.0,1.26,0.064
5868,Calvé 100% Fijngemalen pinda's pindakaas,3.65,601.0,48.0,12.0,27.0,1.04,0.04492512479201331
5869,AH Biologisch Waldkorncrackers,2.59,434.0,16.0,54.0,15.0,1.29,0.03456221198156682
5871,Quaker Cruesli volvezel nuts,3.59,433.0,16.0,55.0,9.8,0.95,0.022632794457274827
5872,Eat Natural Noten & Zaden,4.29,450.0,21.8,47.1,11.5,0.85,0.025555555555555557
5876,Venz XXL hagelslag wit,2.85,455.0,13.0,78.0,5.6,0.75,0.012307692307692308
5877,Zonnatura Kikkererwtenwafel,2.36,356.0,4.6,60.0,15.0,3.15,0.042134831460674156
5878,Wasa Dun Rogge Volkoren,2.59,356.0,5.5,55.0,11.0,1.17,0.03089887640449438
5879,Quaker Havermout crunchy muesli met noten,3.79,420.0,11.0,62.0,11.0,1.08,0.02619047619047619
5880,Jordans Crunchy tropical fruits,2.99,423.0,12.6,64.9,,0.49000000000000005,
5882,Bonne Maman Bosbessen confiture,3.39,241.0,0.1,59.0,0.3,0.9099999999999999,0.0012448132780082987
5883,Streeckgenoten Rosbief,3.39,128.0,3.4,0.4,24.0,3.3899999999999997,0.1875
5884,Zonnatura Krokante muesli naturel,2.77,400.0,10.0,63.0,10.0,0.9800000000000001,0.025
5885,Lotus Speculoospasta crunchy,2.89,571.0,35.7,58.8,3.2,0.72,0.005604203152364273
5887,Nakd. Fruitreep met noten lemon cake,2.99,381.0,15.5,51.8,6.1,2.13,0.016010498687664042
5888,AH 100% Pindakaas,4.99,628.0,48.0,14.0,30.0,0.49000000000000005,0.04777070063694268
5889,Quaker Cruesli rozijn,3.85,430.0,14.0,62.0,7.1,0.85,0.016511627906976745
5890,Bolletje Groentecrackers spinazie,2.75,464.0,21.0,36.0,28.0,1.3699999999999999,0.0603448275862069
5891,Johma Pittige tonijn salade,3.59,281.0,23.3,6.5,10.6,2.05,0.03772241992882562
5893,AH Geitenkaas belegen 50+ plakken,4.69,397.0,33.0,,25.0,2.0300000000000002,0.06297229219143577
